country,region,league_name,platform,active_url,current_season_name,current_divisions,seasons_available,current_targets_total,current_targets_scraped,current_status,history_targets_total,history_targets_scraped,history_status,overall_status,started_at,finished_at,notes
England,Non-County,Midland Table Tennis League,ttleagues,https://midland.ttleagues.com,Midland League 2025-26,3,6,3,0,pending,13,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Norfolk,Dereham Table Tennis League,ttleagues,https://dereham.ttleagues.com,Divisional Cups 2025-26,3,11,3,0,pending,13,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Norfolk,Diss Table Tennis League,tt365,https://www.tabletennis365.com/Diss,Winter 25-26,2,7,2,0,pending,12,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,Norfolk,Fakenham & District Table Tennis League,ttleagues,https://fakenhamdistrict.ttleagues.com,Fakenham and District Table Tennis League,1,1,1,0,pending,0,0,not_required,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Norfolk,Great Yarmouth Table Tennis League,ttleagues,https://greatyarmouth.ttleagues.com,Great Yarmouth Doubles League 2025-26,2,8,2,0,pending,10,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Norfolk,North Norfolk Table Tennis League,ttleagues,https://northnorfolk.ttleagues.com,North Norfolk Handicap 2025/26,4,10,4,0,pending,13,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Norfolk,Norwich Table Tennis League,ttleagues,https://norwich.ttleagues.com,Norwich League 2025-2026 - Divisional Cups,6,49,6,0,pending,23,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Norfolk,Wymondham Table Tennis League,ttleagues,https://wymondham.ttleagues.com,2025/26 Winter League,2,3,2,0,pending,1,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Northamptonshire,Daventry Table Tennis League,ttleagues,https://daventry.ttleagues.com,Spring 2024,2,21,2,0,pending,6,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Northamptonshire,Kettering Table Tennis League,ttleagues,https://kettering.ttleagues.com,K&DTTL 2021-2022,5,15,5,0,pending,22,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Northamptonshire,Northampton Table Tennis League,ttleagues,https://northampton.ttleagues.com,NTTL Winter 2025 - 2026,3,11,3,0,pending,14,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Northamptonshire,Towcester Table Tennis League,ttleagues,https://towcester.ttleagues.com,2024-25 Winter League,3,11,3,0,pending,12,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Northamptonshire,Wellingborough Table Tennis League,ttleagues,https://wellingborough.ttleagues.com,2025-26 Season,2,11,2,0,pending,9,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Northumberland,Northumbria Table Tennis League,ttleagues,https://northumbria.ttleagues.com,Summer League 2025,4,6,4,0,pending,10,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Nottinghamshire,Mansfield Table Tennis League,ttleagues,https://mansfield.ttleagues.com,Mansfield and District Table Tennis League 25-26,2,11,2,0,pending,10,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Nottinghamshire,Nottingham Table Tennis League,ttleagues,https://nottingham.ttleagues.com,Winter League 23/24,4,18,4,0,pending,12,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
